DGUID,Total_jobs_125,HHI_125
2021S051235060654,743260,979.16
2021S051235060655,742200,978.45
2021S051235060656,741950,978.48
2021S051235060657,741510,978.36
2021S051235060662,752755,984.95
2021S051235060663,753005,984.92
2021S051235060668,767630,988.05
2021S051235060669,753265,987.99
2021S051235060670,752395,992.24
2021S051235060671,743730,993.01
2021S051235060672,725600,1002.45
2021S051235060673,748365,997.39
2021S051235060678,796795,975.54
2021S051235060679,771200,978.37
2021S051235060680,788520,974.87
2021S051235060681,789870,974.71
2021S051235060682,785110,975.59
2021S051235060684,796600,973.76
2021S051235060685,797375,973.79
2021S051235060686,801150,973.51
2021S051235060687,799075,973.46
2021S051235060688,799345,973.65
2021S051235060689,802040,974.12
2021S051235060690,803435,973.37
2021S051235060695,803140,973.46
2021S051235060696,801390,973.35
2021S051235060697,799415,973.33
2021S051235060698,801635,972.67
2021S051235060701,761675,977.69
2021S051235060702,757420,977.59
2021S051235060703,758335,978.05
2021S051235060704,759315,978.17
2021S051235060706,757885,978.46
2021S051235060707,757885,978.46
2021S051235060708,756120,978.82
2021S051235060709,757070,978.66
2021S051235060710,758310,978.35
2021S051235060711,763725,978.61
2021S051235060712,757880,978.68
2021S051235060713,756545,978.95
2021S051235060717,755840,979.28
2021S051235060718,754495,979.28
2021S051235060719,753605,979.52
2021S051235060720,753805,979.44
2021S051235060721,752540,979.21
2021S051235060722,751955,979.47
2021S051235060723,753310,979.9
2021S051235060724,753625,980.23
2021S051235060725,754270,979.91
2021S051235060726,753855,980.27
2021S051235060728,756345,980.14
2021S051235060729,757435,980.98
2021S051235060731,757605,979.64
2021S051235060734,757050,983.6
2021S051235060735,755305,983.91
2021S051235060736,755305,983.91
2021S051235060737,755305,983.91
2021S051235060738,755150,983.88
2021S051235060739,753440,981.93
2021S051235060740,752870,982.08
2021S051235060741,754580,984.03
2021S051235060742,752180,982.66
2021S051235060743,753930,984.24
2021S051235060744,753930,984.24
2021S051235060745,754580,984.03
2021S051235060746,753175,983.95
2021S051235060747,757030,986
2021S051235060748,751465,981.99
2021S051235060749,752620,982.12
2021S051235060750,753180,979.39
2021S051235060751,755415,979.15
2021S051235060752,755120,979.04
2021S051235060753,756605,978.61
2021S051235060754,754495,978
2021S051235060755,753790,978.33
2021S051235060758,753085,978.35
2021S051235060759,753495,978.14
2021S051235060760,753120,978.09
2021S051235060761,754235,977.81
2021S051235060762,755015,977.71
2021S051235060763,755050,977.95
2021S051235060764,755015,977.71
2021S051235060765,755610,977.55
2021S051235060766,755930,977.35
